user id,test group,converted,total ads,most ads day,most ads hour
1069124,ad,False,130,Monday,20
1119715,ad,False,93,Tuesday,22
1144181,ad,False,21,Tuesday,18
1435133,ad,False,355,Tuesday,10
1015700,ad,False,276,Friday,14
1137664,ad,False,734,Saturday,10
1116205,ad,False,264,Wednesday,13
1496843,ad,False,17,Sunday,18
1448851,ad,False,21,Tuesday,19
1446284,ad,False,142,Monday,14
1257223,ad,False,209,Wednesday,11
1637531,ad,False,47,Wednesday,13
1081965,ad,False,61,Tuesday,20
1037215,ad,False,40,Friday,13
1535652,ad,False,20,Tuesday,19
1461774,ad,True,9,Wednesday,18
1492276,ad,False,64,Tuesday,12
1118924,ad,False,26,Wednesday,11
900681,psa,False,248,Saturday,19
1053783,ad,False,73,Friday,19
1381767,ad,False,281,Wednesday,11
1478526,ad,False,389,Saturday,19
1436823,ad,False,136,Sunday,16
1274572,ad,False,47,Saturday,21
1441220,ad,False,264,Saturday,3
1025687,ad,False,87,Tuesday,23
1451900,ad,False,46,Tuesday,20
1098821,ad,False,3,Tuesday,19
1333281,ad,False,114,Monday,23
1238323,ad,False,175,Thursday,21
1034350,ad,False,87,Tuesday,19
1175118,ad,False,119,Tuesday,4
1325185,ad,False,313,Saturday,19
1651459,ad,False,89,Monday,19
1196281,ad,False,364,Wednesday,10
1459497,ad,False,24,Thursday,16
1482561,ad,False,112,Friday,22
1067720,ad,False,49,Tuesday,19
905704,psa,False,27,Thursday,8
1486907,ad,False,274,Wednesday,21
1011246,ad,False,45,Wednesday,13
1521269,ad,False,177,Sunday,16
1580543,ad,False,46,Thursday,21
1320295,ad,False,90,Saturday,19
1355531,ad,True,265,Tuesday,12
1076583,ad,False,119,Wednesday,10
1086831,ad,False,71,Wednesday,0
1646896,ad,False,31,Thursday,12
1381174,ad,False,588,Saturday,20
1107193,ad,False,56,Thursday,10
1301170,ad,False,108,Sunday,19
1317684,ad,False,45,Sunday,11
1449190,ad,False,103,Monday,19
1000837,ad,False,239,Saturday,12
1194204,ad,False,73,Wednesday,14
1124531,ad,False,63,Wednesday,19
1056827,ad,False,66,Saturday,14
1077196,ad,False,111,Friday,14
1402121,ad,False,74,Thursday,14
1190893,ad,False,14,Sunday,20
1608119,ad,False,258,Friday,2
1447573,ad,False,103,Wednesday,11
1626063,ad,False,9,Tuesday,19
1565118,ad,False,3,Tuesday,19
1261130,ad,False,1057,Thursday,20
1651365,ad,False,137,Sunday,15
1004917,ad,False,131,Thursday,18
1275159,ad,False,124,Friday,13
904595,psa,False,13,Tuesday,19
1485052,ad,False,24,Tuesday,19
1018316,ad,False,37,Sunday,13
1455516,ad,False,131,Saturday,21
1474691,ad,False,738,Wednesday,4
1452008,ad,False,24,Tuesday,19
1595920,ad,False,199,Saturday,19
1581977,ad,False,211,Saturday,15
1589863,ad,False,98,Friday,19
1097687,ad,False,19,Tuesday,19
1317758,ad,False,19,Wednesday,19
1374531,ad,False,127,Friday,13
1556695,ad,False,18,Tuesday,19
1031558,ad,False,126,Tuesday,11
1388707,ad,False,197,Sunday,11
1243365,ad,False,77,Friday,19
1021129,ad,False,73,Wednesday,1
1035024,ad,False,60,Wednesday,13
1283389,ad,False,95,Friday,15
1134874,ad,False,137,Tuesday,8
1239097,ad,False,97,Tuesday,21
1214946,ad,False,22,Tuesday,19
1474276,ad,False,117,Tuesday,14
1176592,ad,False,71,Tuesday,22
1650819,ad,False,41,Tuesday,23
1025362,ad,False,57,Wednesday,12
1447938,ad,False,593,Friday,15
1383606,ad,False,97,Tuesday,22
1004431,ad,False,111,Friday,11
1311611,ad,False,31,Tuesday,19
1426144,ad,False,28,Tuesday,20
1550138,ad,False,9,Tuesday,19
1142414,ad,False,85,Saturday,2
1437991,ad,False,13,Monday,6
1021483,ad,False,40,Tuesday,19
1049936,ad,False,53,Tuesday,19
1021529,ad,False,43,Tuesday,21
1562039,ad,False,133,Friday,23
1471753,ad,False,33,Tuesday,19
1389878,ad,True,1328,Saturday,19
1454785,ad,False,7,Tuesday,20
1027875,ad,False,6,Tuesday,19
1168468,ad,False,62,Wednesday,10
1031452,ad,False,247,Tuesday,17
1519525,ad,False,73,Sunday,16
1519350,ad,False,464,Friday,22
1408016,ad,False,99,Friday,20
1470226,ad,False,233,Sunday,19
1003299,ad,False,139,Friday,6
1598132,ad,False,274,Saturday,6
1086334,ad,False,103,Sunday,0
1091862,ad,False,62,Tuesday,19
1228652,ad,False,407,Friday,0
1475989,ad,True,323,Saturday,20
1189879,ad,False,95,Tuesday,11
1098032,ad,False,95,Tuesday,20
1074765,ad,False,47,Wednesday,1
1633782,ad,False,76,Monday,2
1431498,ad,False,395,Monday,18
1482863,ad,False,27,Tuesday,20
1486607,ad,False,131,Tuesday,22
1642676,ad,False,239,Monday,13
1519734,ad,False,119,Thursday,21
1137335,ad,False,166,Saturday,12
1018121,ad,False,34,Tuesday,19
1549368,ad,False,19,Tuesday,19
1561455,ad,False,9,Tuesday,12
1241733,ad,True,246,Friday,20
1416484,ad,False,20,Tuesday,21
1434278,ad,False,653,Saturday,12
1039350,ad,False,122,Wednesday,11
1402231,ad,False,14,Tuesday,22
901904,psa,False,32,Wednesday,19
1199156,ad,False,386,Wednesday,2
1550174,ad,False,44,Friday,10
1246432,ad,False,37,Thursday,22
1113317,ad,False,138,Wednesday,3
1465327,ad,False,111,Sunday,18
1487048,ad,False,109,Tuesday,11
